Approved symbol	Approved name	Status	Alias symbols	Gene group name
TIPINP1	TIPIN pseudogene 1	Approved		
TIPRL	TOR signaling pathway regulator	Approved	"MGC3794, dJ69E11.3, TIP41, TIPRL1"	Protein phosphatase 2 modulatory subunits
TIRAP	TIR domain containing adaptor protein	Approved	"Mal, wyatt"	TIR domain containing
TITF2	"symbol withdrawn, see [HGNC:3806](/data/gene-symbol-report/#!/hgnc_id/HGNC:3806)"	Symbol Withdrawn		
TJAP1	tight junction associated protein 1	Approved	PILT	
TJAP1P1	TJAP1 pseudogene 1	Approved		
TJP1	tight junction protein 1	Approved	"ZO-1, MGC133289, DKFZp686M05161"	PDZ domain containing|Membrane associated guanylate kinases
TJP1P1	tight junction protein 1 pseudogene 1	Approved		
TJP2	tight junction protein 2	Approved	"ZO-2, X104, ZO2"	Membrane associated guanylate kinases|PDZ domain containing
TJP3	tight junction protein 3	Approved	ZO-3	PDZ domain containing|Membrane associated guanylate kinases
TK1	thymidine kinase 1	Approved		Deoxyribonucleoside kinases
TK2	thymidine kinase 2	Approved	SCA31	Deoxyribonucleoside kinases
TKC	"symbol withdrawn, see [HGNC:11833](/data/gene-symbol-report/#!/hgnc_id/HGNC:11833)"	Symbol Withdrawn		
TKCR	"torticollis, keloids, cryptorchidism and renal dysplasia"	Entry Withdrawn		
TKFC	triokinase and FMN cyclase	Approved	"DKFZP586B1621, NET45"	
TKT	transketolase	Approved		
TKTL1	transketolase like 1	Approved	"TKR, TKT2"	
TKTL2	transketolase like 2	Approved	"FLJ32975, DKFZP434L1717"	
TLCD1	TLC domain containing 1	Approved		TLC domain containing
TLCD2	TLC domain containing 2	Approved		TLC domain containing
TLCD3A	TLC domain containing 3A	Approved	"FLJ22282, CT120"	TLC domain containing
TLCD3B	TLC domain containing 3B	Approved	DKFZP434I2117	TLC domain containing
TLCD4	TLC domain containing 4	Approved	FLJ31842	TLC domain containing
TLCD4-RWDD3	TLCD4-RWDD3 readthrough	Approved		
TLCD5	TLC domain containing 5	Approved	MGC17839	TLC domain containing
TLCN	"symbol withdrawn, see [HGNC:5348](/data/gene-symbol-report/#!/hgnc_id/HGNC:5348)"	Symbol Withdrawn		
TLDC2	TBC/LysM-associated domain containing 2	Approved	dJ132F21.2	
TLE1	"TLE family member 1, transcriptional corepressor"	Approved	"ESG1, GRG1, ESG"	TLE family|Wnt enhanceosome complex|WD repeat domain containing
TLE1P1	TLE family member 1 pseudogene 1	Approved		
TLE2	"TLE family member 2, transcriptional corepressor"	Approved	"ESG2, GRG2, ESG, FLJ41188"	WD repeat domain containing|TLE family|Wnt enhanceosome complex
TLE3	"TLE family member 3, transcriptional corepressor"	Approved	"ESG, ESG3, KIAA1547, HsT18976, GRG3"	Wnt enhanceosome complex|WD repeat domain containing|MicroRNA protein coding host genes|TLE family
TLE4	"TLE family member 4, transcriptional corepressor"	Approved	"E(spl), ESG, GRG4"	TLE family|Wnt enhanceosome complex|WD repeat domain containing
TLE5	"TLE family member 5, transcriptional modulator"	Approved	GRG5	TLE family
TLE6	"TLE family member 6, subcortical maternal complex member"	Approved	"FLJ14009, GRG6"	Subcortical maternal complex|TLE family|WD repeat domain containing
TLE7	TLE family member 7	Approved		WD repeat domain containing|TLE family
TLK1	tousled like kinase 1	Approved	"KIAA0137, PKU-BETA"	
TLK1P1	tousled like kinase 1 pseudogene 1	Approved	TLK1ps	
TLK2	tousled like kinase 2	Approved	"PKU-ALPHA, MGC44450"	
TLK2P1	tousled like kinase 2 pseudogene 1	Approved	TLK2ps1	
TLK2P2	tousled like kinase 2 pseudogene 2	Approved	TLK2ps2	
TLL1	tolloid like 1	Approved		Astacins
TLL2	tolloid like 2	Approved		Astacins
TLN1	talin 1	Approved	ILWEQ	FERM domain containing|MicroRNA protein coding host genes
TLN2	talin 2	Approved	"KIAA0320, ILWEQ"	MicroRNA protein coding host genes|FERM domain containing
TLNRD1	talin rod domain containing 1	Approved	MGC99595	
TLR1	toll like receptor 1	Approved	"rsc786, KIAA0012, CD281"	Toll like receptors|CD molecules
TLR2	toll like receptor 2	Approved	"TIL4, CD282"	CD molecules|Toll like receptors
TLR3	toll like receptor 3	Approved	CD283	Toll like receptors|CD molecules
TLR4	toll like receptor 4	Approved	"hToll, CD284, TLR-4, ARMD10"	CD molecules|Toll like receptors
TLR5	toll like receptor 5	Approved	"TIL3, FLJ10052, MGC126430, MGC126431"	Toll like receptors
TLR6	toll like receptor 6	Approved	CD286	Toll like receptors|CD molecules
TLR7	toll like receptor 7	Approved		Toll like receptors
TLR8	toll like receptor 8	Approved	CD288	Toll like receptors|CD molecules
TLR8-AS1	TLR8 antisense RNA 1	Approved		Antisense RNAs
TLR9	toll like receptor 9	Approved	CD289	CD molecules|Toll like receptors|My-T-BRC complex
TLR10	toll like receptor 10	Approved	CD290	Toll like receptors|CD molecules
TLR12P	"toll like receptor 12, pseudogene"	Approved		
TLX	"symbol withdrawn, see [HGNC:7973](/data/gene-symbol-report/#!/hgnc_id/HGNC:7973)"	Symbol Withdrawn		
TLX1	T cell leukemia homeobox 1	Approved		NKL subclass homeoboxes and pseudogenes
TLX1NB	TLX1 neighbor	Approved	"TD1, TDI, APT-B7"	Long non-coding RNAs with non-systematic symbols
TLX2	T cell leukemia homeobox 2	Approved	"Enx, NCX"	NKL subclass homeoboxes and pseudogenes
TLX3	T cell leukemia homeobox 3	Approved	RNX	NKL subclass homeoboxes and pseudogenes
TM2D1	TM2 domain containing 1	Approved	BBP	
TM2D2	TM2 domain containing 2	Approved	BLP1	
TM2D3	TM2 domain containing 3	Approved	"BLP2, FLJ22604"	
TM4SF1	transmembrane 4 L six family member 1	Approved	L6	
TM4SF1-AS1	TM4SF1 antisense RNA 1	Approved		Antisense RNAs
TM4SF4	transmembrane 4 L six family member 4	Approved	il-TMP	
TM4SF5	transmembrane 4 L six family member 5	Approved		
TM4SF18	transmembrane 4 L six family member 18	Approved	L6D	
TM4SF19	transmembrane 4 L six family member 19	Approved		
TM4SF19-AS1	TM4SF19 antisense RNA 1	Approved		Antisense RNAs
TM4SF19-TCTEX1D2	TM4SF19-TCTEX1D2 readthrough (NMD candidate)	Approved		
TM4SF20	transmembrane 4 L six family member 20	Approved	"FLJ22800, TCCE518"	
TM6SF1	transmembrane 6 superfamily member 1	Approved		
TM6SF2	transmembrane 6 superfamily member 2	Approved	Lpr4	
TM7SF2	transmembrane 7 superfamily member 2	Approved	"ANG1, DHCR14A, NET47"	
TM7SF3	transmembrane 7 superfamily member 3	Approved		
TM9SF1	transmembrane 9 superfamily member 1	Approved	"MP70, HMP70"	Transmembrane 9 superfamily members
TM9SF2	transmembrane 9 superfamily member 2	Approved	P76	Transmembrane 9 superfamily members
TM9SF3	transmembrane 9 superfamily member 3	Approved	SMBP	Transmembrane 9 superfamily members
TM9SF4	transmembrane 9 superfamily member 4	Approved	"KIAA0255, dJ836N17.2"	Transmembrane 9 superfamily members
TMA7	translation machinery associated 7 homolog	Approved	HSPC016	
TMA16	translation machinery associated 16 homolog	Approved	FLJ11184	
TMA16P1	translation machinery associated 16 homolog pseudogene 1	Approved		
TMA16P2	translation machinery associated 16 homolog pseudogene 2	Approved		
TMBIM1	transmembrane BAX inhibitor motif containing 1	Approved	"PP1201, RECS1, LFG3"	Transmembrane BAX inhibitor motif containing
TMBIM4	transmembrane BAX inhibitor motif containing 4	Approved	"CGI-119, S1R, ZPRO, LFG4, GAAP"	Transmembrane BAX inhibitor motif containing
TMBIM6	transmembrane BAX inhibitor motif containing 6	Approved	"BI-1, BAXI1"	Transmembrane BAX inhibitor motif containing
TMBIM7P	"transmembrane BAX inhibitor motif containing 7, pseudogene"	Approved		Transmembrane BAX inhibitor motif containing
TMC1	transmembrane channel like 1	Approved		Transmembrane channel like family
TMC2	transmembrane channel like 2	Approved	dJ686C3.3	Transmembrane channel like family
TMC3	transmembrane channel like 3	Approved		Transmembrane channel like family
TMC3-AS1	TMC3 antisense RNA 1	Approved		Antisense RNAs
TMC4	transmembrane channel like 4	Approved		Transmembrane channel like family
TMC5	transmembrane channel like 5	Approved	FLJ13593	Transmembrane channel like family
TMC6	transmembrane channel like 6	Approved	"LAK-4P, EVIN1"	Transmembrane channel like family
TMC7	transmembrane channel like 7	Approved	FLJ21240	Transmembrane channel like family
TMC8	transmembrane channel like 8	Approved	EVIN2	Transmembrane channel like family
TMCC1	transmembrane and coiled-coil domain family 1	Approved	KIAA0779	Transmembrane and coiled-coil domain containing
TMCC1-AS1	TMCC1 antisense RNA 1 (head to head)	Approved		Antisense RNAs
TMCC1P1	transmembrane and coiled-coil domain family 1 pseudogene 1	Approved		
TMCC2	transmembrane and coiled-coil domain family 2	Approved	"HUCEP11, FLJ38497"	Transmembrane and coiled-coil domain containing
TMCC2-AS1	TMCC2 antisense RNA 1	Approved		
TMCC3	transmembrane and coiled-coil domain family 3	Approved	KIAA1145	MicroRNA protein coding host genes|Transmembrane and coiled-coil domain containing
TMCO1	transmembrane and coiled-coil domains 1	Approved	HP10122	
TMCO1-AS1	TMCO1 antisense RNA 1	Approved		Antisense RNAs
TMCO2	transmembrane and coiled-coil domains 2	Approved	dJ39G22.2	
TMCO3	transmembrane and coiled-coil domains 3	Approved	FLJ20623	
TMCO4	transmembrane and coiled-coil domains 4	Approved	DKFZp686C23231	
TMCO5A	transmembrane and coiled-coil domains 5A	Approved	MGC35118	
TMCO5B	transmembrane and coiled-coil domains 5B (pseudogene)	Approved		
TMCO6	transmembrane and coiled-coil domains 6	Approved	"FLJ39769, PRO1580"	Armadillo like helical domain containing
TMDD1	transmembrane and death domain 1	Approved	hCG1648055	
TMED1	transmembrane p24 trafficking protein 1	Approved	"ST2L, MGC1270, IL1RL1LG, Il1rl1l, p24gamma1, p24g1"	Transmembrane p24 trafficking proteins
TMED2	transmembrane p24 trafficking protein 2	Approved	"RNP24, P24A, p24beta1, p24b1"	Transmembrane p24 trafficking proteins
TMED2-DT	TMED2 divergent transcript	Approved		Divergent transcripts
TMED3	transmembrane p24 trafficking protein 3	Approved	"p24B, p24gamma4, p24g4"	Transmembrane p24 trafficking proteins
TMED4	transmembrane p24 trafficking protein 4	Approved	"HNLF, p24alpha3, p24a3"	Transmembrane p24 trafficking proteins
TMED5	transmembrane p24 trafficking protein 5	Approved	"CGI-100, p24g2, p24gamma2"	Transmembrane p24 trafficking proteins
TMED6	transmembrane p24 trafficking protein 6	Approved	"MGC23911, p24gamma5, p24g5"	Transmembrane p24 trafficking proteins
TMED7	transmembrane p24 trafficking protein 7	Approved	"CGI-109, FLJ90481, p24gamma3, p24g3"	Transmembrane p24 trafficking proteins
TMED7-TICAM2	TMED7-TICAM2 readthrough	Approved		
TMED8	transmembrane p24 trafficking protein family member 8	Approved		GOLD domain containing
TMED9	transmembrane p24 trafficking protein 9	Approved	"HSGP25L2G, p24alpha2, p24a2"	Transmembrane p24 trafficking proteins
TMED10	transmembrane p24 trafficking protein 10	Approved	"TMP21, P24(DELTA), p24d1, p24delta1, p23"	Transmembrane p24 trafficking proteins
TMED10P1	transmembrane p24 trafficking protein 10 pseudogene 1	Approved	Tmp21-II	
TMED10P2	transmembrane p24 trafficking protein 10 pseudogene 2	Approved		
TMED11P	"transmembrane p24 trafficking protein 11, pseudogene"	Approved	"p24alpha1, p24a1"	Transmembrane p24 trafficking proteins
TMEFF1	transmembrane protein with EGF like and two follistatin like domains 1	Approved	"H7365, CT120.1"	
TMEFF2	transmembrane protein with EGF like and two follistatin like domains 2	Approved	"TENB2, HPP1, TR, TPEF, CT120.2"	
TMEM6	"symbol withdrawn, see [HGNC:17205](/data/gene-symbol-report/#!/hgnc_id/HGNC:17205)"	Symbol Withdrawn		
TMEM8B	transmembrane protein 8B	Approved	"NAG-5, NGX6, NGX6a, FP588"	TMEM8 family
TMEM9	transmembrane protein 9	Approved	TMEM9A	
TMEM9B	TMEM9 domain family member B	Approved		
TMEM9B-AS1	TMEM9B antisense RNA 1	Approved		Antisense RNAs
TMEM11	transmembrane protein 11	Approved	"PMI, PM1"	
TMEM13	"symbol withdrawn, see [HGNC:19992](/data/gene-symbol-report/#!/hgnc_id/HGNC:19992)"	Symbol Withdrawn		
TMEM14A	transmembrane protein 14A	Approved	"PTD011, C6orf73"	
TMEM14B	transmembrane protein 14B	Approved	MGC1223	
TMEM14C	transmembrane protein 14C	Approved	"HSPC194, bA421M1.6, NET26"	
TMEM14DP	"transmembrane protein 14D, pseudogene"	Approved	bA524O24.3	
TMEM14EP	"transmembrane protein 14E, pseudogene"	Approved		
TMEM17	transmembrane protein 17	Approved	FLJ34583	
TMEM18	transmembrane protein 18	Approved	"DKFZp434C1714, lncND"	
TMEM18-DT	TMEM18 divergent transcript	Approved	AC092159.2	Divergent transcripts
TMEM19	transmembrane protein 19	Approved	FLJ10936	
TMEM25	transmembrane protein 25	Approved	FLJ14399	C2-set domain containing
TMEM26	transmembrane protein 26	Approved	"MGC35010, Em:AC068892.1"	
TMEM26-AS1	TMEM26 antisense RNA 1	Approved		Antisense RNAs
TMEM30A	transmembrane protein 30A	Approved	"FLJ10856, CDC50A"	
TMEM30A-DT	TMEM30A divergent transcript	Approved		
TMEM30B	transmembrane protein 30B	Approved	CDC50B	
TMEM30BP1	TMEM30B pseudogene 1	Approved		
TMEM30CP	"transmembrane protein 30C, pseudogene"	Approved	CDC50C	
TMEM31	transmembrane protein 31	Approved	MGC39655	
TMEM33	transmembrane protein 33	Approved	"FLJ10525, Pom33"	
TMEM35A	transmembrane protein 35A	Approved	FLJ14084	
TMEM35B	transmembrane protein 35B	Approved		
TMEM37	transmembrane protein 37	Approved	"PR1, PR"	
TMEM38A	transmembrane protein 38A	Approved	"MGC3169, TRIC-A"	
TMEM38B	transmembrane protein 38B	Approved	"FLJ10493, bA219P18.1, D4Ertd89e, TRIC-B"	
TMEM39A	transmembrane protein 39A	Approved	"FLJ10902, SUSR2"	
TMEM39B	transmembrane protein 39B	Approved	FLJ10315	MicroRNA protein coding host genes
TMEM40	transmembrane protein 40	Approved	FLJ11036	
TMEM41A	transmembrane protein 41A	Approved	MGC15397	
TMEM41B	transmembrane protein 41B	Approved	KIAA0033	
TMEM42	transmembrane protein 42	Approved	MGC29956	MicroRNA protein coding host genes
TMEM43	transmembrane protein 43	Approved	"MGC3222, DKFZp586G1919, LUMA"	
TMEM44	transmembrane protein 44	Approved	DKFZp686O18124	
TMEM44-AS1	TMEM44 antisense RNA 1	Approved		Antisense RNAs
TMEM45A	transmembrane protein 45A	Approved	"FLJ10134, DERP7"	
TMEM45B	transmembrane protein 45B	Approved	"BC016153, FLJ40787"	
TMEM47	transmembrane protein 47	Approved	"BCMP1, DKFZP761J17121, DKFZp564E153, VAB-9"	
TMEM50A	transmembrane protein 50A	Approved	SMP1	
TMEM50B	transmembrane protein 50B	Approved		
TMEM51	transmembrane protein 51	Approved	FLJ10199	
TMEM51-AS1	TMEM51 antisense RNA 1	Approved	FLJ23703	Antisense RNAs
TMEM52	transmembrane protein 52	Approved		
TMEM52B	transmembrane protein 52B	Approved	FLJ31166	
TMEM53	transmembrane protein 53	Approved	"FLJ22353, NET4"	
TMEM54	transmembrane protein 54	Approved	CAC-1	
TMEM59	transmembrane protein 59	Approved	HSPC001	
TMEM59L	transmembrane protein 59 like	Approved	BSMAP	
TMEM60	transmembrane protein 60	Approved	DC32	
TMEM61	transmembrane protein 61	Approved		
TMEM62	transmembrane protein 62	Approved	FLJ23375	
TMEM63A	transmembrane protein 63A	Approved		
TMEM63B	transmembrane protein 63B	Approved	"DKFZp434P0531, dJ421H19.2"	
TMEM63C	transmembrane protein 63C	Approved	"DKFZp434P0111, CSC1, hsCSC1"	
TMEM64	transmembrane protein 64	Approved	DKFZp762C1112	
TMEM65	transmembrane protein 65	Approved		
TMEM67	transmembrane protein 67	Approved	"MGC26979, JBTS6, NPHP11"	MKS complex
TMEM68	transmembrane protein 68	Approved	FLJ32370	
TMEM69	transmembrane protein 69	Approved	FLJ21029	
TMEM70	transmembrane protein 70	Approved	FLJ20533	Mitochondrial respiratory chain complex assembly factors
TMEM71	transmembrane protein 71	Approved	FLJ33069	
TMEM72	transmembrane protein 72	Approved	"bA285G1.3, KSP37"	
TMEM72-AS1	TMEM72 antisense RNA 1	Approved		Antisense RNAs
TMEM74	transmembrane protein 74	Approved	"FLJ30668, NET36"	
TMEM74B	transmembrane protein 74B	Approved	FLJ11190	
TMEM75	transmembrane protein 75	Approved	FLJ36105	
TMEM78	transmembrane protein 78	Approved	FLJ40168	
TMEM79	transmembrane protein 79	Approved	"MGC13102, FLJ16057, FLJ32254, MATT"	
TMEM80	transmembrane protein 80	Approved	FLJ38216	
TMEM81	transmembrane protein 81	Approved	"UNQ2788, MGC75217, HC3107, KVLA2788"	Immunoglobulin like domain containing
TMEM82	transmembrane protein 82	Approved		
TMEM86A	transmembrane protein 86A	Approved	FLJ90119	
TMEM86B	transmembrane protein 86B	Approved	MGC30208	
TMEM87A	transmembrane protein 87A	Approved	DKFZP564G2022	
TMEM87B	transmembrane protein 87B	Approved	FLJ14681	
TMEM88	transmembrane protein 88	Approved	"MGC71744, FLJ20025"	
TMEM88B	transmembrane protein 88B	Approved		
TMEM89	transmembrane protein 89	Approved		
TMEM91	transmembrane protein 91	Approved	"FLJ27310, IFITMD6, DSPC3"	interferon induced transmembrane protein domain containing
TMEM92	transmembrane protein 92	Approved	FLJ33318	
TMEM92-AS1	TMEM92 antisense RNA 1	Approved	"RP11-893F2.9, lncRNA-508851, TCONS_00025237"	Antisense RNAs
TMEM94	transmembrane protein 94	Approved		MicroRNA protein coding host genes
TMEM95	transmembrane protein 95	Approved	"MGC129793, UNQ9390"	
TMEM97	transmembrane protein 97	Approved	MAC30	
TMEM97P1	transmembrane protein 97 pseudogene 1	Approved		
TMEM97P2	transmembrane protein 97 pseudogene 2	Approved		
TMEM98	transmembrane protein 98	Approved	DKFZP564K1964	
TMEM99	transmembrane protein 99 (putative)	Approved	MGC21518	
TMEM100	transmembrane protein 100	Approved	"FLJ10970, FLJ37856"	
TMEM101	transmembrane protein 101	Approved	"MGC4251, FLJ23987"	
TMEM102	transmembrane protein 102	Approved	"FLJ36878, CBAP"	
TMEM104	transmembrane protein 104	Approved	"FLJ20255, FLJ00021"	
TMEM105	TMEM105 long non-coding RNA	Approved	FLJ38792	Long non-coding RNAs with non-systematic symbols
TMEM106A	transmembrane protein 106A	Approved	MGC20235	
TMEM106B	transmembrane protein 106B	Approved	"MGC33727, FLJ11273"	
TMEM106C	transmembrane protein 106C	Approved	MGC5576	
TMEM107	transmembrane protein 107	Approved	"MGC10744, JBTS29, MKS13"	
TMEM108	transmembrane protein 108	Approved	"MGC3040, CT124"	
TMEM108-AS1	TMEM108 antisense RNA 1	Approved		Antisense RNAs
TMEM109	transmembrane protein 109	Approved	MGC5508	
TMEM114	transmembrane protein 114	Approved		
TMEM115	transmembrane protein 115	Approved	PL6	Rhomboid family
TMEM116	transmembrane protein 116	Approved	FLJ90167	
TMEM117	transmembrane protein 117	Approved	DKFZp434K2435	
TMEM119	transmembrane protein 119	Approved		
TMEM120A	transmembrane protein 120A	Approved	"TMPIT, NET29"	
TMEM120B	transmembrane protein 120B	Approved		
TMEM121	transmembrane protein 121	Approved	"MGC4659, hole, TMEM121A"	
TMEM121B	transmembrane protein 121B	Approved		
TMEM123	transmembrane protein 123	Approved	"PORIMIN, KCT3"	
TMEM125	transmembrane protein 125	Approved	MGC17299	
TMEM126A	transmembrane protein 126A	Approved	"DKFZp586C1924, OPA7"	
TMEM126B	transmembrane protein 126B	Approved	HT007	Mitochondrial complex I assembly complex
TMEM127	transmembrane protein 127	Approved	"FLJ20507, FLJ22257"	
TMEM128	transmembrane protein 128	Approved	MGC13159	
TMEM129	"transmembrane protein 129, E3 ubiquitin ligase"	Approved	D4S2561E	
TMEM130	transmembrane protein 130	Approved	"DKFZp761L1417, FLJ42643"	
TMEM131	transmembrane protein 131	Approved	"CC28, YR-23, RW1, KIAA0257, PRO1048"	
TMEM131L	transmembrane 131 like	Approved	DKFZp586H1322	
TMEM132A	transmembrane protein 132A	Approved	"GBP, FLJ20539"	
TMEM132B	transmembrane protein 132B	Approved	"KIAA1906, KIAA1786"	
TMEM132C	transmembrane protein 132C	Approved	"DKFZp761O2018, PPP1R152"	MicroRNA protein coding host genes|Protein phosphatase 1 regulatory subunits
TMEM132D	transmembrane protein 132D	Approved	"KIAA1944, MOLT, PPP1R153"	Protein phosphatase 1 regulatory subunits
TMEM132D-AS1	TMEM132D antisense RNA 1	Approved	"LOC283352, RP11-669N7.2"	Antisense RNAs
TMEM132D-AS2	TMEM132D antisense RNA 2	Approved		Antisense RNAs
TMEM132E	transmembrane protein 132E	Approved	DFNB99	
TMEM133	"symbol withdrawn, see [HGNC:26545](/data/gene-symbol-report/#!/hgnc_id/HGNC:26545)"	Symbol Withdrawn	AD031	
TMEM134	transmembrane protein 134	Approved	FLJ21749	
TMEM135	transmembrane protein 135	Approved	FLJ22104	Tim17 family
TMEM137	transmembrane protein 137	Entry Withdrawn	MGC15912	
TMEM138	transmembrane protein 138	Approved	"HSPC196, JBTS16"	
TMEM139	transmembrane protein 139	Approved	FLJ90586	
TMEM139-AS1	TMEM139 antisense RNA 1	Approved		
TMEM140	transmembrane protein 140	Approved	FLJ11000	
TMEM141	transmembrane protein 141	Approved	MGC14141	
TMEM143	transmembrane protein 143	Approved	FLJ10922	
TMEM144	transmembrane protein 144	Approved	FLJ11155	
TMEM145	transmembrane protein 145	Approved	FLJ90805	
TMEM147	transmembrane protein 147	Approved	"NIFIE14, MGC1936"	
TMEM147-AS1	TMEM147 antisense RNA 1	Approved		Antisense RNAs
TMEM150A	transmembrane protein 150A	Approved	"TM6P1, FLJ90024, TTN1"	
TMEM150B	transmembrane protein 150B	Approved	"TTN2, DRAM3"	
TMEM150C	transmembrane protein 150C	Approved	"FLJ12993, TTN3"	
TMEM151A	transmembrane protein 151A	Approved	MGC33486	
TMEM151B	transmembrane protein 151B	Approved	bA444E17.5	
TMEM154	transmembrane protein 154	Approved	FLJ32028	
TMEM155	transmembrane protein 155	Entry Withdrawn	FLJ30834	
TMEM156	transmembrane protein 156	Approved	FLJ23235	
TMEM158	transmembrane protein 158	Approved	"RIS1, p40BBp"	
TMEM159	transmembrane protein 159	Approved	promethin	
TMEM160	transmembrane protein 160	Approved	FLJ20512	
TMEM161A	transmembrane protein 161A	Approved	"FLJ39645, FLJ20422"	
TMEM161B	transmembrane protein 161B	Approved	MGC33214	
TMEM161B-AS1	TMEM161B antisense RNA 1	Approved	linc-POLR3G-8	Antisense RNAs
TMEM161BP1	transmembrane protein 161B pseudogene 1	Approved		
TMEM163	transmembrane protein 163	Approved	"DKFZP566N034, SV31"	
TMEM164	transmembrane protein 164	Approved	"FLJ22679, RP13-360B22.2"	MicroRNA protein coding host genes
TMEM165	transmembrane protein 165	Approved	"TMPT27, TPARL, GDT1"	
TMEM167A	transmembrane protein 167A	Approved	"FLJ30508, MGC23909"	
TMEM167AP1	transmembrane protein 167A pseudogene 1	Approved		
TMEM167B	transmembrane protein 167B	Approved	"AD-020, FLJ90710"	
TMEM167B-DT	TMEM167B divergent transcript	Approved		Divergent transcripts
TMEM168	transmembrane protein 168	Approved	"DKFZp564C012,FLJ13576"	
TMEM169	transmembrane protein 169	Approved	FLJ34263	
TMEM170A	transmembrane protein 170A	Approved	FLJ37611	
TMEM170B	transmembrane protein 170B	Approved		
TMEM171	transmembrane protein 171	Approved	PRP2	
TMEM174	transmembrane protein 174	Approved	"MGC13034, FLJ31268"	
TMEM175	transmembrane protein 175	Approved	MGC4618	
TMEM176A	transmembrane protein 176A	Approved	"HCA112, MS4B1"	Membrane spanning 4-domains
TMEM176B	transmembrane protein 176B	Approved	"LR8, MS4B2"	Membrane spanning 4-domains
TMEM177	transmembrane protein 177	Approved	MGC10993	Mitochondrial respiratory chain complex assembly factors
TMEM178A	transmembrane protein 178A	Approved	MGC33926	
TMEM178B	transmembrane protein 178B	Approved	DKFZp547G036	
TMEM179	transmembrane protein 179	Approved	"FLJ42486, TMEM179A"	
TMEM179B	transmembrane protein 179B	Approved		MicroRNA protein coding host genes
TMEM181	transmembrane protein 181	Approved		MicroRNA protein coding host genes
TMEM182	transmembrane protein 182	Approved	FLJ30294	
TMEM183A	transmembrane protein 183A	Approved		
TMEM183AP1	transmembrane protein 183A pseudogene 1	Approved	"BPG126D10.10, OTTHUMG00000086663"	
TMEM183B	transmembrane protein 183B	Approved	C1orf37-DUP	
TMEM184A	transmembrane protein 184A	Approved	"MGC9712, SDMG1"	
TMEM184B	transmembrane protein 184B	Approved	"HS5O6A, DKFZP586A1024, FM08"	
TMEM184C	transmembrane protein 184C	Approved	FLJ10846	
TMEM184CP1	TMEM184C pseudogene 1	Approved		
TMEM185A	transmembrane protein 185A	Approved		
TMEM185AP1	transmembrane protein 185A pseudogene 1	Approved		
TMEM185B	transmembrane protein 185B	Approved	FLJ20979	
TMEM186	transmembrane protein 186	Approved	DKFZP564K2062	Mitochondrial respiratory chain complex assembly factors
TMEM187	transmembrane protein 187	Approved	"ITBA1, DXS9878E"	MicroRNA protein coding host genes
TMEM190	transmembrane protein 190	Approved	MDAC1	
TMEM191A	transmembrane protein 191A (pseudogene)	Approved	"DKFZp434N035, TMEM191AP"	
TMEM191B	transmembrane protein 191B	Approved		
TMEM191C	transmembrane protein 191C	Approved		
TMEM192	transmembrane protein 192	Approved	FLJ38482	
TMEM196	transmembrane protein 196	Approved	MGC42090	
TMEM198	transmembrane protein 198	Approved	"MGC99813, TMEM198A"	
TMEM198B	transmembrane protein 198B (pseudogene)	Approved		
TMEM199	transmembrane protein 199	Approved	"MGC45714, VPH2, VMA12"	MicroRNA protein coding host genes
TMEM200A	transmembrane protein 200A	Approved	TTMC	
TMEM200B	transmembrane protein 200B	Approved	TTMB	
TMEM200C	transmembrane protein 200C	Approved	TTMA	
TMEM201	transmembrane protein 201	Approved	"RP13-15M17.2, NET5, Ima1, SAMP1"	
TMEM202	transmembrane protein 202	Approved	FLJ27523	
TMEM202-AS1	TMEM202 antisense RNA 1	Approved		Antisense RNAs
TMEM203	transmembrane protein 203	Approved	"MGC14327, HBEBP1"	
TMEM204	transmembrane protein 204	Approved	"FLJ20898, CLP24"	
TMEM205	transmembrane protein 205	Approved	"UNQ501, MBC3205"	
TMEM207	transmembrane protein 207	Approved		
TMEM208	transmembrane protein 208	Approved	HSPC171	
TMEM209	transmembrane protein 209	Approved	"FLJ14803, NET31"	
TMEM210	transmembrane protein 210	Approved		
TMEM211	transmembrane protein 211	Approved	bA9F11.1	
TMEM212	transmembrane protein 212	Approved	FLJ23172	
TMEM212-AS1	TMEM212 antisense RNA 1	Approved		Antisense RNAs
TMEM212-IT1	TMEM212 intronic transcript 1	Approved		Intronic transcripts
TMEM213	transmembrane protein 213	Approved		
TMEM214	transmembrane protein 214	Approved	FLJ20254	
TMEM215	transmembrane protein 215	Approved		
TMEM216	transmembrane protein 216	Approved	"MGC13379, HSPC244, JBTS2"	
TMEM217	transmembrane protein 217	Approved	dJ355M6.2	
TMEM218	transmembrane protein 218	Approved		
TMEM219	transmembrane protein 219	Approved	IGFBP-3R	
TMEM220	transmembrane protein 220	Approved		
TMEM220-AS1	TMEM220 antisense RNA 1	Approved		Antisense RNAs
TMEM221	transmembrane protein 221	Approved		
TMEM222	transmembrane protein 222	Approved	DKFZP564D0478	
TMEM223	transmembrane protein 223	Approved	MGC3196	
TMEM225	transmembrane protein 225	Approved	"PMP22CD, PPP1R154, SPATA47"	Protein phosphatase 1 regulatory subunits
TMEM225B	transmembrane protein 225B	Approved		
TMEM229A	transmembrane protein 229A	Approved		
TMEM229B	transmembrane protein 229B	Approved	FLJ33387	
TMEM230	transmembrane protein 230	Approved	HSPC274	
